"","qseqid","sseqid","evalue","bitscore","staxids","sscinames","scomnames","sskingdoms"
"964","TRINITY_DN2_c1_g1_i1","gi|818211083|gb|KP739887.1|",8.47e-30,141,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1395","TRINITY_DN11623_c0_g2_i9","gi|818211083|gb|KP739887.1|",3.8e-22,116,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1731","TRINITY_DN2972_c0_g1_i1","gi|426273205|gb|JX839703.1|",6.96e-59,241,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"1797","TRINITY_DN44233_c0_g1_i1","gi|818211085|gb|KP739888.1|",9.28e-150,540,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1880","TRINITY_DN9674_c0_g2_i2","gi|818211111|gb|KP739901.1|",0,2491,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1881","TRINITY_DN9674_c0_g2_i2","gi|818211111|gb|KP739901.1|",7.23e-110,410,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1882","TRINITY_DN9674_c0_g2_i4","gi|818211111|gb|KP739901.1|",0,2560,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1883","TRINITY_DN9674_c0_g2_i4","gi|818211111|gb|KP739901.1|",1.58e-86,333,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1884","TRINITY_DN9674_c0_g2_i1","gi|818211111|gb|KP739901.1|",0,2278,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1885","TRINITY_DN9674_c0_g2_i1","gi|818211111|gb|KP739901.1|",6.05e-85,327,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1886","TRINITY_DN9674_c0_g2_i3","gi|818211111|gb|KP739901.1|",0,2376,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"1887","TRINITY_DN9674_c0_g2_i3","gi|818211111|gb|KP739901.1|",6.25e-136,497,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"18058","TRINITY_DN487_c0_g1_i1","gi|426273203|gb|JX839702.1|",0,1079,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18059","TRINITY_DN487_c0_g1_i4","gi|426273203|gb|JX839702.1|",0,838,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18060","TRINITY_DN487_c0_g1_i8","gi|426273201|gb|JX839701.1|",0,1074,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18061","TRINITY_DN487_c0_g1_i5","gi|426273203|gb|JX839702.1|",0,883,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18062","TRINITY_DN487_c2_g1_i1","gi|426273193|gb|JX839697.1|",0,1440,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18063","TRINITY_DN487_c0_g2_i1","gi|426273187|gb|JX839694.1|",0,1018,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18064","TRINITY_DN487_c1_g1_i1","gi|426273199|gb|JX839700.1|",0,919,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18189","TRINITY_DN453_c0_g1_i12","gi|426273205|gb|JX839703.1|",1.86e-120,443,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18190","TRINITY_DN453_c0_g1_i8","gi|426273205|gb|JX839703.1|",1.29e-152,551,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18191","TRINITY_DN453_c0_g1_i5","gi|426273205|gb|JX839703.1|",1.14e-159,574,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18192","TRINITY_DN453_c0_g1_i1","gi|426273205|gb|JX839703.1|",0,994,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18193","TRINITY_DN453_c0_g1_i7","gi|426273205|gb|JX839703.1|",4.25e-152,549,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18194","TRINITY_DN453_c0_g1_i3","gi|426273205|gb|JX839703.1|",1.1e-129,473,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18195","TRINITY_DN453_c0_g1_i14","gi|426273205|gb|JX839703.1|",0,1232,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18196","TRINITY_DN453_c0_g1_i13","gi|426273205|gb|JX839703.1|",1.08e-153,554,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18197","TRINITY_DN453_c0_g1_i11","gi|426273205|gb|JX839703.1|",0,1166,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"18198","TRINITY_DN453_c0_g1_i6","gi|426273205|gb|JX839703.1|",0,1063,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"19141","TRINITY_DN15440_c0_g1_i2","gi|818211085|gb|KP739888.1|",2.93e-23,120,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"19156","TRINITY_DN15431_c0_g1_i1","gi|357196879|emb|HE610771.1|",5.8e-55,228,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"20060","TRINITY_DN14759_c0_g1_i1","gi|818211109|gb|KP739900.1|",2.04e-34,158,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"20061","TRINITY_DN14759_c0_g2_i1","gi|818211109|gb|KP739900.1|",0,1743,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"20062","TRINITY_DN14759_c0_g2_i1","gi|818211109|gb|KP739900.1|",2.88e-107,401,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"20063","TRINITY_DN14759_c0_g2_i2","gi|818211109|gb|KP739900.1|",0,1743,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"20064","TRINITY_DN14759_c0_g2_i2","gi|818211109|gb|KP739900.1|",1.15e-131,482,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"86618","TRINITY_DN36641_c2_g3_i1","gi|818211099|gb|KP739895.1|",1.77e-38,174,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"86923","TRINITY_DN4532_c0_g1_i5","gi|426273175|gb|JX839688.1|",0,897,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"86924","TRINITY_DN4532_c0_g1_i3","gi|426273175|gb|JX839688.1|",0,897,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"86925","TRINITY_DN4532_c0_g1_i7","gi|426273175|gb|JX839688.1|",0,897,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"87175","TRINITY_DN52057_c0_g1_i1","gi|426273191|gb|JX839696.1|",0,1077,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"87209","TRINITY_DN3648_c0_g3_i1","gi|357196850|emb|HE610742.1|",2.2e-54,223,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87210","TRINITY_DN3648_c0_g1_i11","gi|357196862|emb|HE610754.1|",1.1e-51,214,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87211","TRINITY_DN3648_c0_g1_i6","gi|357196851|emb|HE610743.1|",2.43e-82,316,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87212","TRINITY_DN3648_c0_g1_i6","gi|357196851|emb|HE610743.1|",9.08e-50,208,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87213","TRINITY_DN3648_c0_g1_i2","gi|357196873|emb|HE610765.1|",5.12e-102,381,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87214","TRINITY_DN3648_c0_g1_i2","gi|357196873|emb|HE610765.1|",1.21e-46,197,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87215","TRINITY_DN3648_c0_g1_i4","gi|357196873|emb|HE610765.1|",7.59e-102,381,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87216","TRINITY_DN3648_c0_g1_i4","gi|357196873|emb|HE610765.1|",1.79e-46,197,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
