"Trinity_protein" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" "TRINITY_DN21464_c0_g1_i1" "tr|A0A1Q9E613|A0A1Q9E613_SYMMI" 38.298 611 346 10 801 2570 567 1167 6.69e-116 382
"2" "TRINITY_DN21426_c0_g2_i1" "tr|A0A1Q9DMD0|A0A1Q9DMD0_SYMMI" 46.383 470 235 3 126 1484 34 503 2.34e-134 406
"3" "TRINITY_DN21474_c0_g1_i1" "tr|A0A1Q9E557|A0A1Q9E557_SYMMI" 27.5 240 165 4 938 231 75 309 2.73e-28 114
"4" "TRINITY_DN21474_c1_g1_i1" "tr|A0A1Q9CMH1|A0A1Q9CMH1_SYMMI" 26.442 208 139 3 797 192 1706 1905 5.86e-15 79.3
"5" "TRINITY_DN21493_c0_g2_i4" "tr|A0A1Q9BY78|A0A1Q9BY78_SYMMI" 37.963 108 63 2 276 596 610 714 1.97e-12 66.6
"6" "TRINITY_DN21493_c0_g2_i5" "tr|A0A1Q9BY78|A0A1Q9BY78_SYMMI" 40.206 97 54 2 113 400 621 714 9.52e-13 65.1
"7" "TRINITY_DN21493_c0_g2_i3" "tr|A0A1Q9BY78|A0A1Q9BY78_SYMMI" 42.268 97 52 2 279 566 621 714 1.04e-13 70.1
"8" "TRINITY_DN21403_c0_g1_i1" "tr|A0A1Q9DSI9|A0A1Q9DSI9_SYMMI" 42.149 242 127 4 1750 1052 93 330 3.82e-50 180
"9" "TRINITY_DN21403_c0_g1_i2" "tr|A0A1Q9DSI9|A0A1Q9DSI9_SYMMI" 42.149 242 127 4 1434 736 93 330 8.44e-51 180
"10" "TRINITY_DN21471_c0_g2_i1" "tr|A0A1Q9DWW8|A0A1Q9DWW8_SYMMI" 54.545 110 49 1 659 333 345 454 3.31e-30 118
"11" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 90 8 645 115 473 621 9.87e-14 71.6
"12" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 90 8 645 115 484 632 9.87e-14 71.6
"13" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 90 8 645 115 495 643 9.87e-14 71.6
"14" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 90 8 645 115 506 654 9.87e-14 71.6
"15" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 90 8 645 115 517 665 9.87e-14 71.6
"16" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 95 7 620 102 142 299 1.02e-12 68.6
"17" "TRINITY_DN21468_c0_g1_i8" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.319 188 104 7 635 102 162 332 2.38e-11 64.3
"18" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 32.584 178 95 7 620 102 142 299 5.87e-13 68.9
"19" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 33.14 172 86 7 630 115 490 632 5.99e-13 68.9
"20" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 33.14 172 86 7 630 115 501 643 5.99e-13 68.9
"21" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 33.14 172 86 7 630 115 512 654 5.99e-13 68.9
"22" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 33.14 172 86 7 630 115 523 665 5.99e-13 68.9
"23" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 176 343 1.48e-11 64.7
"24" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 319 486 1.48e-11 64.7
"25" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 462 629 1.48e-11 64.7
"26" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 473 640 1.48e-11 64.7
"27" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 484 651 1.48e-11 64.7
"28" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 30.811 185 101 7 626 102 495 662 1.48e-11 64.7
"29" "TRINITY_DN21468_c0_g1_i9" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 29.756 205 109 8 626 66 506 693 3.03e-11 63.9
"30" "TRINITY_DN21468_c0_g1_i12" "tr|A0A1Q9EPM4|A0A1Q9EPM4_SYMMI" 38.281 128 61 5 498 115 149 258 3.98e-13 68.2
