target_id,X329776_L2,X329776_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN14731_c0_g1_i7,1,1,NA,NA,sp|P40818|UBP8_HUMAN,P40818,5.85E-78
TRINITY_DN18587_c0_g1_i1,1,1,NA,NA,sp|Q7SIB2|CO4A1_BOVIN,Q7SIB2,4.01E-52
TRINITY_DN51807_c0_g1_i1,1,1,NA,NA,sp|Q2LZI9|MTND_DROPS,Q2LZI9,1.98E-43
TRINITY_DN15325_c0_g1_i1,1,1,NA,NA,sp|Q9UL59|ZN214_HUMAN,Q9UL59,4.12E-26
TRINITY_DN46203_c0_g1_i1,1,1,NA,NA,sp|Q6DD21|CBPC1_XENLA,Q6DD21,4.29E-26
TRINITY_DN31974_c0_g1_i1,2,1,NA,NA,sp|Q9W0Y8|SCN60_DROME,Q9W0Y8,6.34E-24
TRINITY_DN37047_c0_g1_i1,2,1,NA,NA,sp|Q24368|ISWI_DROME,Q24368,1.48E-34
TRINITY_DN30088_c0_g3_i1,6,1,NA,NA,sp|Q8TD57|DYH3_HUMAN,Q8TD57,2.93E-72
TRINITY_DN67_c0_g1_i1,1,2,NA,NA,sp|P23398|UBIQP_STRPU,P23398,4.50E-42
TRINITY_DN44288_c0_g1_i1,1,2,NA,NA,sp|Q9V730|EXT1_DROME,Q9V730,1.24E-34
TRINITY_DN9460_c0_g1_i5,1,2,NA,NA,sp|Q15427|SF3B4_HUMAN,Q15427,1.24E-127
TRINITY_DN23932_c0_g2_i1,1,2,NA,NA,sp|Q80W93|HYDIN_MOUSE,Q80W93,2.26E-21
TRINITY_DN21302_c0_g1_i4,1,2,NA,NA,sp|P10984|ACT2_CAEEL,P10984,2.64E-101
TRINITY_DN6068_c0_g2_i1,2,2,NA,NA,sp|A6NK75|ZNF98_HUMAN,A6NK75,7.45E-30
TRINITY_DN29826_c0_g1_i1,2,2,NA,NA,sp|Q9FHN8|KCBP_ARATH,Q9FHN8,5.17E-39
TRINITY_DN49707_c0_g1_i1,2,2,NA,NA,sp|Q923J6|DYH12_RAT,Q923J6,8.27E-22
TRINITY_DN51477_c0_g1_i1,4,2,NA,NA,sp|Q1LXK4|M10B1_DANRE,Q1LXK4,1.58E-26
TRINITY_DN238_c0_g1_i18,43,2,NA,NA,sp|Q9VFS5|PP4R3_DROME,Q9VFS5,5.39E-32
TRINITY_DN9171_c0_g2_i3,1,3,NA,NA,sp|Q7Z340|ZN551_HUMAN,Q7Z340,7.84E-41
TRINITY_DN8261_c0_g1_i5,1,3,NA,NA,sp|Q5BK48|TTC5_RAT,Q5BK48,3.03E-34
TRINITY_DN28319_c0_g1_i1,2,3,NA,NA,sp|P05187|PPB1_HUMAN,P05187,3.46E-31
TRINITY_DN27131_c0_g1_i1,2,3,NA,NA,sp|Q8VCT9|TESK2_MOUSE,Q8VCT9,1.46E-25
TRINITY_DN43670_c0_g1_i1,2,3,NA,NA,sp|Q9GQQ0|SPIN_DROME,Q9GQQ0,1.07E-23
TRINITY_DN45931_c0_g1_i1,4,3,NA,NA,sp|P49673|KAPC_ASCSU,P49673,6.14E-53
TRINITY_DN30088_c0_g1_i1,6,3,NA,NA,sp|Q8WXX0|DYH7_HUMAN,Q8WXX0,1.08E-37
TRINITY_DN48347_c0_g1_i1,2,4,NA,NA,sp|Q6IDD9|SARM1_DROME,Q6IDD9,2.97E-25
TRINITY_DN238_c0_g1_i4,4,4,NA,NA,sp|Q8TDY2|RBCC1_HUMAN,Q8TDY2,1.50E-25
TRINITY_DN42856_c0_g2_i1,4,4,NA,NA,sp|Q66HB3|IFT80_RAT,Q66HB3,4.71E-22
TRINITY_DN29459_c0_g1_i1,4,4,NA,NA,sp|P35072|TCB1_CAEBR,P35072,6.93E-32
TRINITY_DN5265_c0_g1_i1,13,4,NA,NA,sp|Q9SP08|RRP41_ARATH,Q9SP08,7.08E-50
TRINITY_DN35233_c0_g1_i1,16,4,NA,NA,sp|Q96UY2|DGT2A_UMBRA,Q96UY2,6.73E-34
TRINITY_DN10291_c0_g2_i8,5,5,NA,NA,sp|D9IFD5|DOHH_LEIDO,D9IFD5,2.01E-40
TRINITY_DN4398_c1_g1_i7,17,5,NA,NA,sp|P0C7Q7|PPR38_ARATH,P0C7Q7,7.39E-23
TRINITY_DN9117_c0_g1_i2,2,6,NA,NA,sp|Q5FWQ0|ADXL_XENLA,Q5FWQ0,9.07E-34
TRINITY_DN58782_c0_g1_i1,4,6,NA,NA,sp|Q80W93|HYDIN_MOUSE,Q80W93,9.38E-27
TRINITY_DN11892_c0_g1_i9,5,6,NA,NA,sp|Q8WW35|TC1D2_HUMAN,Q8WW35,1.96E-35
TRINITY_DN26476_c0_g1_i2,4,7,NA,NA,sp|Q8RXU4|THA1_ARATH,Q8RXU4,1.95E-31
