"","x"
"1","Q6PEI7"
"2","Q556N7"
"3","A7NH85"
"4","Q59KC4"
"5","Q43814"
"6","Q99IB8"
"7","A2SBW1"
"8","Q4WUT7"
"9","Q18297"
"10","Q86VS3"
"11","A9JR23"
"12","Q9TZD0"
"13","Q9C698"
"14","A8H999"
"15","Q14765"
"16","B2HEN2"
"17","P08799"
"18","C3L3G7"
"19","Q1ILG3"
"20","Q57910"
"21","Q57910"
"22","Q69ZH9"
"23","Q43748"
"24","A1ALP2"
"25","B2VEQ9"
"26","Q9IA26"
"27","O04196"
"28","Q54DA5"
"29","A1U501"
"30","Q7MHB1"
"31","A4XR57"
"32","Q65DX2"
"33","Q1IST4"
"34","O22476"
"35","Q28E95"
"36","Q5UNW9"
"37","P11213"
"38","Q8BUH7"
"39","A8G2J5"
"40","Q9PY83"
"41","Q23F13"
"42","Q54MI3"
"43","Q54MI3"
"44","Q8BUH8"
"45","Q8BUH8"
"46","Q8BUH8"
"47","Q9D3R6"
"48","P0DN00"
"49","B6ETT4"
"50","Q96SU4"
"51","Q9W3M3"
"52","Q9M658"
"53","O36635"
"54","P18583"
"55","P18583"
"56","P18583"
"57","Q2URJ0"
"58","P07207"
"59","P07207"
"60","P07207"
"61","P07207"
"62","P36641"
"63","P07207"
"64","P07207"
"65","P52062"
"66","Q8H6H4"
"67","Q9LIR4"
"68","Q32RG2"
"69","P73627"
"70","C4NZN9"
"71","C4NZN9"
"72","C4NZN9"
"73","C4NZN9"
"74","Q6UWE0"
"75","P75851"
"76","Q9H0M0"
"77","Q640I9"
"78","S0DLP2"
"79","P0DKG8"
"80","B1ZUS4"
"81","B5QY30"
"82","Q9NBX4"
"83","Q9FX53"
"84","Q55638"
"85","Q5ZWA3"
"86","Q605A0"
"87","P0DC55"
"88","Q54TP6"
"89","Q03611"
"90","Q03611"
"91","Q8TDY2"
"92","P90970"
"93","P28582"
"94","Q7SDN3"
"95","Q9ESK9"
"96","P38670"
"97","Q9VN12"
"98","Q8NBI5"
"99","Q1JPD8"
"100","Q1JPD8"
"101","Q1JPD8"
