Entry	Entry.name	Status	Protein.names	Gene.names	Organism	Length	Gene.ontology.IDs	Gene.ontology..molecular.function.	Gene.ontology..cellular.component.	Gene.ontology..biological.process.
Q54QS3	DDX3_DICDI	reviewed	Probable ATP-dependent RNA helicase ddx3 (EC 3.6.4.13) (DEAD box protein 3)	ddx3 DDB_G0283661	Dictyostelium discoideum (Slime mold)	712	GO:0003723; GO:0003724; GO:0003743; GO:0005524; GO:0005634; GO:0043186	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]	nucleus [GO:0005634]; P granule [GO:0043186]	
P20054	PYR1_DICDI	reviewed	Protein PYR1-3 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	pyr1-3 DDB_G0276335	Dictyostelium discoideum (Slime mold)	2225	GO:0004070; GO:0004088; GO:0004151; GO:0005524; GO:0005737; GO:0006207; GO:0006541; GO:0006807; GO:0016597; GO:0044205; GO:0046872	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]
Q54E04	VATM_DICDI	reviewed	Vacuolar proton translocating ATPase 100 kDa subunit (Clathrin-coated vesicle/synaptic vesicle proton pump 100 kDa subunit) (Vacuolar ATPase transmembrane subunit)	vatM DDB_G0291858	Dictyostelium discoideum (Slime mold)	815	GO:0000220; GO:0000331; GO:0005623; GO:0005764; GO:0005765; GO:0006911; GO:0007035; GO:0010008; GO:0016021; GO:0016471; GO:0030139; GO:0030666; GO:0030670; GO:0031164; GO:0032009; GO:0045335; GO:0046961; GO:0051117; GO:0051453	ATPase binding [GO:0051117]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	cell [GO:0005623]; contractile vacuolar membrane [GO:0031164]; contractile vacuole [GO:0000331]; early phagosome [GO:0032009]; endocytic vesicle [GO:0030139]; endocytic vesicle membrane [GO:0030666]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	phagocytosis, engulfment [GO:0006911]; regulation of intracellular pH [GO:0051453]; vacuolar acidification [GO:0007035]
Q54JP5	OAT_DICDI	reviewed	Probable ornithine aminotransferase (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	oatA DDB_G0287913	Dictyostelium discoideum (Slime mold)	416	GO:0004587; GO:0005737; GO:0006591; GO:0010121; GO:0019544; GO:0030170; GO:0055129	ornithine-oxo-acid transaminase activity [GO:0004587]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]	arginine catabolic process to glutamate [GO:0019544]; arginine catabolic process to proline via ornithine [GO:0010121]; L-proline biosynthetic process [GO:0055129]; ornithine metabolic process [GO:0006591]
Q8T6J5	ABCA2_DICDI	reviewed	ABC transporter A family member 2 (ABC transporter ABCA.2)	abcA2 DDB_G0267438	Dictyostelium discoideum (Slime mold)	1621	GO:0005319; GO:0005524; GO:0006869; GO:0016021; GO:0016887; GO:0031288; GO:0042626; GO:0043231	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; lipid transporter activity [GO:0005319]	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	lipid transport [GO:0006869]; sorocarp morphogenesis [GO:0031288]
Q54ES9	TCPB_DICDI	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	cct2 DDB_G0291358	Dictyostelium discoideum (Slime mold)	532	GO:0005524; GO:0005832; GO:0006457; GO:0045335; GO:0051082	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	chaperonin-containing T-complex [GO:0005832]; phagocytic vesicle [GO:0045335]	protein folding [GO:0006457]
Q55E60	PEPD_DICDI	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	pepd prd DDB_G0269382	Dictyostelium discoideum (Slime mold)	501	GO:0004177; GO:0008237; GO:0030145; GO:0102009	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metallopeptidase activity [GO:0008237]; proline dipeptidase activity [GO:0102009]		
Q5VZK9	CARL1_HUMAN	reviewed	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	Homo sapiens (Human)	1371	GO:0005654; GO:0005829; GO:0005886; GO:0007015; GO:0007596; GO:0016477; GO:0016607; GO:0030027; GO:0030032; GO:0030335; GO:0030838; GO:0031252; GO:0031529; GO:0031941; GO:0044351; GO:0044354; GO:0044877; GO:0046415; GO:0051496; GO:0051638; GO:0051639; GO:0070062; GO:1900026; GO:1902745; GO:2000813	protein-containing complex binding [GO:0044877]	cell leading edge [GO:0031252]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; lamellipodium [GO:0030027]; macropinosome [GO:0044354]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; barbed-end actin filament uncapping [GO:0051638]; blood coagulation [GO:0007596]; cell migration [GO:0016477]; lamellipodium assembly [GO:0030032]; macropinocytosis [GO:0044351]; negative regulation of barbed-end actin filament capping [GO:2000813]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell migration [GO:0030335]; positive regulation of lamellipodium organization [GO:1902745]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; ruffle organization [GO:0031529]; urate metabolic process [GO:0046415]
Q54IZ9	RPC2_DICDI	reviewed	DNA-directed RNA polymerase III subunit rpc2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (DNA-directed RNA polymerase III subunit B) [Cleaved into: Ddi rpc2 intein]	polr3b rpc2 DDB_G0288449	Dictyostelium discoideum (Slime mold)	1608	GO:0003677; GO:0003899; GO:0005666; GO:0005736; GO:0006360; GO:0006383; GO:0016539; GO:0032549; GO:0046872	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]	RNA polymerase I complex [GO:0005736]; RNA polymerase III complex [GO:0005666]	intein-mediated protein splicing [GO:0016539]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase III [GO:0006383]
Q54GE3	VPS45_DICDI	reviewed	Vacuolar protein sorting-associated protein 45	vps45 DDB_G0290213	Dictyostelium discoideum (Slime mold)	563	GO:0000139; GO:0006896; GO:0006904; GO:0010008; GO:0015031; GO:0045335; GO:0051082	unfolded protein binding [GO:0051082]	endosome membrane [GO:0010008]; Golgi membrane [GO:0000139]; phagocytic vesicle [GO:0045335]	Golgi to vacuole transport [GO:0006896]; protein transport [GO:0015031]; vesicle docking involved in exocytosis [GO:0006904]
