target_id,X329777_L2,X329777_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN44179_c0_g1_i1,1,1,NA,NA,sp|O97394|SDK_DROME,O97394,3.74E-27
TRINITY_DN33179_c0_g2_i1,1,1,NA,NA,sp|P50533|SMC2_XENLA,P50533,5.31E-73
TRINITY_DN13064_c0_g1_i6,1,1,-5.064993701,0.021488797,sp|Q58EB4|HIBCH_DANRE,Q58EB4,1.06E-135
TRINITY_DN54542_c0_g1_i1,1,1,NA,NA,sp|Q63170|DYH7_RAT,Q63170,3.53E-39
TRINITY_DN25341_c0_g1_i1,1,2,NA,NA,sp|P51892|DNLI1_XENLA,P51892,4.86E-56
TRINITY_DN48062_c0_g1_i1,1,2,NA,NA,sp|P46218|Y1674_SULAC,P46218,6.32E-25
TRINITY_DN50414_c0_g1_i1,1,2,NA,NA,sp|Q9VH19|LMLN_DROME,Q9VH19,3.41E-26
TRINITY_DN17346_c0_g6_i1,1,2,NA,NA,sp|Q91604|STK11_XENLA,Q91604,2.37E-30
TRINITY_DN20503_c0_g1_i1,1,2,NA,NA,sp|Q8MV48|GALT7_DROME,Q8MV48,1.45E-31
TRINITY_DN14586_c0_g1_i21,1,2,NA,NA,sp|Q9VSH4|CPSF6_DROME,Q9VSH4,2.09E-40
TRINITY_DN56112_c0_g1_i1,1,2,NA,NA,sp|P17972|KCNAW_DROME,P17972,9.84E-36
TRINITY_DN471_c0_g1_i8,1,4,NA,NA,sp|P18433|PTPRA_HUMAN,P18433,1.38E-77
TRINITY_DN11461_c0_g1_i5,1,4,NA,NA,sp|P52742|ZN135_HUMAN,P52742,1.74E-22
TRINITY_DN50609_c0_g1_i1,1,8,NA,NA,sp|Q9Y2U8|MAN1_HUMAN,Q9Y2U8,4.71E-28
TRINITY_DN20000_c0_g1_i1,1,8,NA,NA,sp|P05946|SCP1_ASTLP,P05946,2.12E-62
TRINITY_DN14586_c0_g1_i26,1,11,NA,NA,sp|Q9VSH4|CPSF6_DROME,Q9VSH4,1.92E-40
TRINITY_DN14586_c0_g1_i19,1,21,NA,NA,sp|Q9VSH4|CPSF6_DROME,Q9VSH4,2.19E-40
TRINITY_DN8890_c0_g1_i5,1,73,NA,NA,sp|P52826|CACP_COLLI,P52826,0
TRINITY_DN8720_c1_g1_i13,2,1,NA,NA,sp|Q08ER8|ZN543_HUMAN,Q08ER8,6.98E-29
TRINITY_DN12028_c0_g2_i2,2,1,NA,NA,sp|Q95108|THIOM_BOVIN,Q95108,2.21E-21
TRINITY_DN4580_c0_g1_i4,2,1,-3.833549688,9.29E-04,sp|Q9NQX1|PRDM5_HUMAN,Q9NQX1,1.00E-37
TRINITY_DN25978_c0_g1_i1,2,1,NA,NA,sp|P81577|CUPA3_CANPG,P81577,1.76E-24
TRINITY_DN53527_c0_g1_i1,2,1,-2.865866194,0.036395584,sp|A0JNH6|C102A_BOVIN,A0JNH6,3.68E-21
TRINITY_DN36880_c0_g1_i1,2,1,NA,NA,sp|Q00174|LAMA_DROME,Q00174,1.39E-29
TRINITY_DN15432_c1_g2_i1,2,3,NA,NA,sp|Q0IJ05|OSBL9_XENTR,Q0IJ05,4.20E-60
TRINITY_DN6590_c0_g1_i1,2,4,NA,NA,sp|Q8BQM9|MD12L_MOUSE,Q8BQM9,0
TRINITY_DN12929_c0_g1_i5,2,4,NA,NA,sp|Q8BUM9|UBP43_MOUSE,Q8BUM9,9.51E-135
TRINITY_DN4591_c0_g1_i2,2,5,NA,NA,sp|Q9VCI5|DHSD_DROME,Q9VCI5,2.53E-28
TRINITY_DN850_c0_g1_i11,2,6,NA,NA,sp|P30038|AL4A1_HUMAN,P30038,0
TRINITY_DN49138_c0_g1_i1,2,7,NA,NA,sp|P16620|PTP69_DROME,P16620,6.12E-62
TRINITY_DN15184_c0_g1_i1,2,9,NA,NA,sp|Q9NXT0|ZN586_HUMAN,Q9NXT0,7.37E-32
TRINITY_DN11095_c0_g1_i2,2,10,NA,NA,sp|Q75WS4|CRYD_XENLA,Q75WS4,0
TRINITY_DN25042_c0_g1_i9,2,10,NA,NA,sp|P52756|RBM5_HUMAN,P52756,2.15E-61
TRINITY_DN22804_c0_g1_i1,3,1,-2.802177493,0.016892701,sp|Q8VDI9|ALG9_MOUSE,Q8VDI9,1.53E-49
TRINITY_DN4222_c2_g1_i2,3,3,-3.716999098,5.39E-04,sp|Q7ZYJ9|AASDB_XENLA,Q7ZYJ9,1.19E-98
TRINITY_DN45695_c0_g1_i1,3,3,NA,NA,sp|O60264|SMCA5_HUMAN,O60264,3.48E-31
TRINITY_DN47147_c0_g1_i1,3,3,NA,NA,sp|Q08DX0|SNX29_BOVIN,Q08DX0,9.02E-24
TRINITY_DN51195_c0_g1_i1,3,4,NA,NA,sp|P06795|MDR1B_MOUSE,P06795,2.45E-35
TRINITY_DN36193_c0_g3_i1,3,5,NA,NA,sp|Q5M8F9|ALKMO_XENTR,Q5M8F9,6.64E-29
TRINITY_DN19383_c0_g2_i1,4,1,NA,NA,sp|O46072|KZ_DROME,O46072,6.74E-61
TRINITY_DN35453_c0_g1_i1,4,2,NA,NA,sp|Q4R8P0|ABHGA_MACFA,Q4R8P0,9.24E-52
TRINITY_DN52989_c0_g1_i1,4,3,NA,NA,sp|Q23551|UNC22_CAEEL,Q23551,1.28E-22
TRINITY_DN22701_c0_g1_i2,4,4,NA,NA,sp|Q3SWY8|ZUFSP_BOVIN,Q3SWY8,1.45E-28
TRINITY_DN3696_c0_g1_i5,4,5,NA,NA,sp|Q32PF2|ACLY_BOVIN,Q32PF2,0
TRINITY_DN43676_c0_g1_i1,4,5,NA,NA,sp|Q6P560|ZN182_MOUSE,Q6P560,4.36E-22
TRINITY_DN26699_c0_g1_i2,4,5,NA,NA,sp|Q8BH75|RNF41_MOUSE,Q8BH75,4.17E-33
TRINITY_DN9901_c0_g1_i2,4,6,NA,NA,sp|Q6PAV8|MACD2_XENLA,Q6PAV8,1.38E-28
TRINITY_DN11082_c1_g1_i3,4,6,NA,NA,sp|Q9ZPR1|CD48B_ARATH,Q9ZPR1,4.82E-25
TRINITY_DN4765_c0_g1_i5,4,7,NA,NA,sp|Q3BAI2|YCX91_PHAAO,Q3BAI2,5.04E-26
TRINITY_DN33135_c0_g1_i1,4,10,NA,NA,sp|O94761|RECQ4_HUMAN,O94761,2.67E-25
TRINITY_DN17595_c0_g1_i1,4,10,NA,NA,sp|Q17745|TRXR1_CAEEL,Q17745,3.10E-26
TRINITY_DN19632_c0_g1_i1,4,14,NA,NA,sp|Q6GQ53|PUSL1_XENLA,Q6GQ53,1.24E-36
TRINITY_DN17306_c0_g1_i8,5,5,NA,NA,sp|O97067|PTH2_DROME,O97067,1.31E-32
TRINITY_DN52401_c0_g1_i1,5,7,NA,NA,sp|Q5R660|SEC63_PONAB,Q5R660,2.03E-28
TRINITY_DN178_c0_g1_i12,5,9,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN178_c0_g1_i24,5,11,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN178_c0_g1_i31,5,13,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN25042_c0_g1_i6,5,19,NA,NA,sp|P52756|RBM5_HUMAN,P52756,5.44E-64
TRINITY_DN249_c1_g1_i6,5,25,NA,NA,sp|P22897|MRC1_HUMAN,P22897,6.24E-26
TRINITY_DN6875_c0_g3_i2,6,3,NA,NA,sp|Q7KRI2|LOLAL_DROME,Q7KRI2,6.92E-35
TRINITY_DN2819_c0_g1_i11,6,4,NA,NA,sp|Q15650|TRIP4_HUMAN,Q15650,3.73E-38
TRINITY_DN6964_c0_g1_i2,6,5,NA,NA,sp|Q9D0S9|HINT2_MOUSE,Q9D0S9,3.88E-51
TRINITY_DN25807_c0_g1_i1,6,5,NA,NA,sp|Q3ZMH1|SC5A8_DANRE,Q3ZMH1,1.50E-26
TRINITY_DN178_c0_g1_i4,6,10,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN8_c2_g1_i3,6,12,NA,NA,sp|P35559|IDE_RAT,P35559,0
TRINITY_DN4765_c0_g1_i4,7,2,NA,NA,sp|Q3BAI2|YCX91_PHAAO,Q3BAI2,1.67E-42
TRINITY_DN16580_c0_g1_i3,7,5,NA,NA,sp|O89042|DPOLA_RAT,O89042,1.56E-45
TRINITY_DN49190_c0_g1_i1,7,5,NA,NA,sp|Q8MKW7|RNZ_DROME,Q8MKW7,5.84E-21
TRINITY_DN37139_c0_g1_i1,7,5,NA,NA,sp|Q9ZQ47|GRDP1_ARATH,Q9ZQ47,1.10E-26
TRINITY_DN2880_c0_g1_i3,7,19,NA,NA,sp|Q496Z9|TRM1L_RAT,Q496Z9,1.48E-55
TRINITY_DN16_c1_g2_i3,8,11,-3.3520327,0.026309356,sp|B2RWS6|EP300_MOUSE,B2RWS6,2.39E-26
TRINITY_DN9764_c2_g1_i1,8,12,-4.881758,1.33E-04,sp|Q99JD4|CLAP2_RAT,Q99JD4,2.04E-136
TRINITY_DN3082_c1_g1_i3,9,2,NA,NA,sp|Q96ND8|ZN583_HUMAN,Q96ND8,1.58E-34
TRINITY_DN9638_c0_g1_i1,9,6,NA,NA,sp|Q71R50|DHR11_CHICK,Q71R50,4.66E-61
TRINITY_DN3192_c0_g1_i2,9,12,NA,NA,sp|Q58CP0|IDH3G_BOVIN,Q58CP0,3.32E-145
TRINITY_DN4875_c2_g1_i3,10,2,NA,NA,sp|P49615|CDK5_MOUSE,P49615,0
TRINITY_DN9448_c0_g3_i4,10,8,NA,NA,sp|A0A0G2JZ79|SIR1_RAT,A0A0G2JZ79,9.33E-38
TRINITY_DN4388_c0_g1_i2,11,7,NA,NA,sp|A3KP85|ETKMT_DANRE,A3KP85,5.11E-56
TRINITY_DN8852_c0_g1_i1,11,13,NA,NA,sp|Q02525|ZFP39_MOUSE,Q02525,5.35E-22
TRINITY_DN13180_c0_g1_i1,11,16,NA,NA,sp|Q5R514|UMPS_PONAB,Q5R514,2.04E-150
TRINITY_DN13952_c0_g1_i2,11,25,NA,NA,sp|Q06732|ZN33B_HUMAN,Q06732,6.19E-44
TRINITY_DN18051_c0_g1_i3,11,34,NA,NA,sp|Q174R2|CARM1_AEDAE,Q174R2,0
TRINITY_DN3696_c0_g1_i2,11,62,NA,NA,sp|Q8R2K4|TAF6L_MOUSE,Q8R2K4,7.10E-26
TRINITY_DN13186_c0_g1_i2,12,3,NA,NA,sp|P81274|GPSM2_HUMAN,P81274,0
TRINITY_DN13530_c0_g1_i2,13,8,NA,NA,sp|Q91W86|VPS11_MOUSE,Q91W86,3.24E-43
TRINITY_DN8536_c0_g1_i6,13,11,NA,NA,sp|Q2T9S4|PGP_BOVIN,Q2T9S4,1.06E-59
TRINITY_DN27895_c0_g1_i1,13,20,NA,NA,sp|Q28G71|FOXN3_XENTR,Q28G71,7.30E-56
TRINITY_DN5267_c1_g1_i3,14,8,NA,NA,sp|Q7K556|TTD14_DROME,Q7K556,0
TRINITY_DN6930_c0_g1_i3,14,10,NA,NA,sp|P29147|BDH_RAT,P29147,1.51E-53
TRINITY_DN2523_c2_g1_i10,14,26,NA,NA,sp|Q9VIL0|BRU_DROME,Q9VIL0,1.13E-48
TRINITY_DN843_c0_g1_i2,14,43,NA,NA,sp|P11584|ITBX_DROME,P11584,2.09E-34
TRINITY_DN2921_c0_g1_i5,15,4,NA,NA,sp|P70076|SYHC_TAKRU,P70076,1.84E-143
TRINITY_DN2368_c0_g1_i5,15,5,NA,NA,sp|Q04202|TCB2_CAEBR,Q04202,5.21E-27
TRINITY_DN7718_c0_g1_i3,15,10,NA,NA,sp|P0CZ23|ACOX3_ARATH,P0CZ23,1.30E-92
TRINITY_DN8624_c0_g1_i5,15,22,NA,NA,sp|Q14590|ZN235_HUMAN,Q14590,1.12E-23
TRINITY_DN4122_c0_g1_i2,15,31,NA,NA,sp|Q8K2A1|GULP1_MOUSE,Q8K2A1,4.04E-67
TRINITY_DN16583_c0_g1_i6,16,2,NA,NA,sp|Q4KMC4|GFPT2_RAT,Q4KMC4,5.80E-125
TRINITY_DN618_c2_g1_i3,16,8,NA,NA,sp|Q5F464|LPP_CHICK,Q5F464,8.13E-100
