Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN1003_c0_g1_i4	26.88821346	8.099740698	1.916722135	4.225829373	2.38e-05	0.000871787	sp	A1L1P7	DNLZ_DANRE	60.2	93	31	2	577	302	63	150	4.1e-23	110.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10053_c0_g1_i1	40.44398245	8.688934034	1.791344987	4.85050847	1.23e-06	6.1e-05	sp	Q6ZRS2	SRCAP_HUMAN	47.9	71	35	1	211	5	812	882	1.8e-12	72.8	SRCAP_HUMAN	reviewed	Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator)	SRCAP KIAA0309	Homo sapiens (Human)	3230	regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone acetyltransferase activity [GO:0004402]; transcription coactivator activity [GO:0003713]	Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex [GO:0043234]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone acetyltransferase activity [GO:0004402]; transcription coactivator activity [GO:0003713]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	GO:0003677; GO:0003713; GO:0004386; GO:0004402; GO:0005524; GO:0005634; GO:0005654; GO:0005794; GO:0006351; GO:0006357; GO:0016032; GO:0016604; GO:0043234; GO:0048471
TRINITY_DN10053_c0_g2_i1	70.89864903	5.867618479	1.169757321	5.016098959	5.27e-07	2.88e-05	sp	Q9NDJ2	DOM_DROME	65.1	149	52	0	447	1	963	1111	2.8e-55	216.1	DOM_DROME	reviewed	Helicase domino (EC 3.6.4.-)	dom CG9696	Drosophila melanogaster (Fruit fly)	3198	cell cycle [GO:0007049]; chromatin organization [GO:0006325]; dendrite guidance [GO:0070983]; dendrite morphogenesis [GO:0048813]; gene silencing [GO:0016458]; hemopoiesis [GO:0030097]; histone acetylation [GO:0016573]; histone exchange [GO:0043486]; instar larval or pupal development [GO:0002165]; male germ-line stem cell population maintenance [GO:0036098]; negative regulation of gene expression [GO:0010629]; negative regulation of hemocyte proliferation [GO:0035207]; oogenesis [GO:0048477]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of Notch signaling pathway [GO:0045747]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of glucose metabolic process [GO:0010906]; regulation of transcription, DNA-templated [GO:0006355]; somatic stem cell population maintenance [GO:0035019]; transcription, DNA-templated [GO:0006351]; wing disc pattern formation [GO:0035222]	histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; helicase activity [GO:0004386]	histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; helicase activity [GO:0004386]; cell cycle [GO:0007049]; chromatin organization [GO:0006325]; dendrite guidance [GO:0070983]; dendrite morphogenesis [GO:0048813]; gene silencing [GO:0016458]; hemopoiesis [GO:0030097]; histone acetylation [GO:0016573]; histone exchange [GO:0043486]; instar larval or pupal development [GO:0002165]; male germ-line stem cell population maintenance [GO:0036098]; negative regulation of gene expression [GO:0010629]; negative regulation of hemocyte proliferation [GO:0035207]; oogenesis [GO:0048477]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of Notch signaling pathway [GO:0045747]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of glucose metabolic process [GO:0010906]; regulation of transcription, DNA-templated [GO:0006355]; somatic stem cell population maintenance [GO:0035019]; transcription, DNA-templated [GO:0006351]; wing disc pattern formation [GO:0035222]	GO:0000123; GO:0000381; GO:0002165; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006325; GO:0006351; GO:0006355; GO:0007049; GO:0008094; GO:0010629; GO:0010906; GO:0016458; GO:0016573; GO:0030097; GO:0035019; GO:0035207; GO:0035222; GO:0035267; GO:0036098; GO:0043486; GO:0045747; GO:0048477; GO:0048813; GO:0070983; GO:2000637
TRINITY_DN10062_c0_g1_i1	24.47404328	7.964747343	1.994940482	3.992473667	6.54e-05	0.00220557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10074_c0_g1_i1	33.58528533	8.421177871	1.86896368	4.505800707	6.61e-06	0.000276662	sp	P20054	PYR1_DICDI	60	85	34	0	1	255	494	578	2.7e-23	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10074_c0_g2_i1	43.46756331	8.793358792	1.810592121	4.856620488	1.19e-06	5.94e-05	sp	Q18990	PYR1_CAEEL	80.7	83	16	0	251	3	661	743	5.3e-32	137.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10077_c0_g1_i4	695.5457597	2.58362863	0.713085246	3.623169383	0.000291015	0.008763878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10183_c0_g1_i1	102.2623465	10.0272651	1.634768035	6.133754077	8.58e-10	1.19e-07	sp	Q96DI7	SNR40_HUMAN	45.2	115	50	2	5	349	236	337	5.4e-22	105.1	SNR40_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57)	SNRNP40 PRP8BP SFP38 WDR57	Homo sapiens (Human)	357	mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; small nucleolar ribonucleoprotein complex [GO:0005732]; U5 snRNP [GO:0005682]	RNA binding [GO:0003723]	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; small nucleolar ribonucleoprotein complex [GO:0005732]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	GO:0000375; GO:0000398; GO:0003723; GO:0005654; GO:0005682; GO:0005732; GO:0005829; GO:0006396; GO:0008380; GO:0016607; GO:0071011; GO:0071013
TRINITY_DN10190_c0_g1_i1	93.2892021	8.475110301	1.551985933	5.460816441	4.74e-08	3.49e-06	sp	Q2NKY8	DHX30_BOVIN	50.5	103	51	0	6	314	749	851	4.7e-25	115.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN102_c0_g1_i5	134.0061545	10.41722691	1.60590601	6.486822294	8.77e-11	1.83e-08	sp	Q9D1A2	CNDP2_MOUSE	66.2	465	156	1	58	1452	3	466	2.6e-188	659.8	CNDP2_MOUSE	reviewed	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1)	Cndp2 Cn2	Mus musculus (Mouse)	475	proteolysis [GO:0006508]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]	alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0004180; GO:0005654; GO:0005829; GO:0006508; GO:0008233; GO:0008237; GO:0016805; GO:0046872; GO:0070062; GO:0102008; GO:0103046
