name	term	lev	seq	value
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i11	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i2	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i1	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i4	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i13	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i8	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN33_c0_g1_i14	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN6580_c0_g1_i1	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN12367_c0_g1_i3	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN14448_c0_g1_i2	0
"humoral immune response"	GO:0001867;GO:0006956;GO:0045087;GO:0006959	3	TRINITY_DN3234_c0_g1_i6	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN21567_c4_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN28867_c0_g1_i1	1
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN4731_c0_g1_i4	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN4731_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN4792_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN4792_c0_g1_i3	1
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN4792_c0_g1_i2	1
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN11_c0_g1_i3	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2923_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2966_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN19038_c0_g1_i1	1
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2061_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2002_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2002_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN17114_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN425_c0_g1_i7	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN425_c0_g1_i5	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN1136_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN1145_c1_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN1181_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN1158_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN6081_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN6081_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN821_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN883_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN897_c0_g2_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN897_c0_g2_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN897_c0_g2_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN5164_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN23071_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN11282_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN11249_c0_g1_i1	1
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN10429_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN26884_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2763_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2733_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN2733_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN232_c4_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN229_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN281_c0_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN252_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN13563_c0_g1_i1	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN3956_c2_g1_i2	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN3956_c2_g1_i3	0
"protein-containing complex subunit organization"	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	3	TRINITY_DN3956_c2_g1_i1	0
