name	term	lev	seq	value
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN3857_c0_g1_i1	-0.0913771992594178
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN8518_c1_g1_i1	2.32934934365
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN264_c0_g1_i13	0.0646478018606697
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN2884_c0_g1_i3	4.92372434805411
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN2884_c0_g1_i1	0.487418964864209
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN2884_c0_g1_i4	3.0751650148637
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN171_c0_g1_i1	0.0667005879980139
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN10948_c0_g1_i4	0.267385086072043
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN10948_c0_g1_i3	-0.591444215926563
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN1593_c0_g1_i1	0.427601644843267
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN16100_c0_g1_i1	6.58780084410149
"endoplasmic reticulum lumen"	GO:0005788	2	TRINITY_DN25779_c0_g1_i1	-0.726696619581934
"transferase complex"	GO:1990234	3	TRINITY_DN21540_c0_g1_i1	-0.017840085679574
"transferase complex"	GO:1990234	3	TRINITY_DN4760_c0_g1_i1	3.65794410070218
"transferase complex"	GO:1990234	3	TRINITY_DN4760_c0_g1_i2	0.283578241904145
"transferase complex"	GO:1990234	3	TRINITY_DN4733_c0_g1_i1	2.27131344221704
"transferase complex"	GO:1990234	3	TRINITY_DN4767_c0_g1_i1	0.980448850834392
"transferase complex"	GO:1990234	3	TRINITY_DN12_c1_g1_i1	-0.181763858650164
"transferase complex"	GO:1990234	3	TRINITY_DN24_c1_g1_i1	0.495906115394312
