name	term	lev	seq	value
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g1_i16	-0.13460268706707
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g1_i18	6.90199270079237
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g1_i4	-2.12856712316218
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g1_i11	3.0751650148637
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g1_i6	-1.59965510409327
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN16282_c0_g2_i1	-0.705521002704091
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN6078_c0_g2_i3	-0.13764013350019
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN864_c0_g2_i12	0.0876350395627872
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3131_c0_g2_i1	-1.26655314428293
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3131_c0_g2_i2	0.940557664766944
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3131_c0_g2_i4	1.93944829506824
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3131_c0_g2_i3	1.24815230248365
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN9933_c0_g1_i1	-0.556843527359627
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN2325_c0_g1_i1	-0.49015093856393
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3356_c0_g1_i2	-1.37354008641173
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3356_c0_g1_i6	-0.402645229640135
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3356_c0_g1_i3	6.80585056640498
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN3356_c0_g2_i1	2.01538040111469
"UDP-galactosyltransferase activity"	GO:0003831;GO:0035250;GO:0008378	2	TRINITY_DN5792_c0_g1_i1	-0.104211767737561
"RNA binding"	GO:0003723	2	TRINITY_DN21538_c0_g1_i1	-0.430205878554442
"RNA binding"	GO:0003723	2	TRINITY_DN12486_c2_g1_i1	2.75198836530024
"RNA binding"	GO:0003723	2	TRINITY_DN4773_c0_g1_i4	2.9508301296804
"RNA binding"	GO:0003723	2	TRINITY_DN4766_c0_g1_i1	8.17163885673171
"RNA binding"	GO:0003723	2	TRINITY_DN4796_c1_g1_i1	0.773312936068223
"RNA binding"	GO:0003723	2	TRINITY_DN19856_c0_g1_i1	-0.105815260741752
"RNA binding"	GO:0003723	2	TRINITY_DN7_c0_g1_i2	-0.243179195222156
"RNA binding"	GO:0003723	2	TRINITY_DN7_c0_g1_i1	-0.850558425479449
"RNA binding"	GO:0003723	2	TRINITY_DN28_c2_g1_i1	-0.120366278257169
"RNA binding"	GO:0003723	2	TRINITY_DN43_c1_g1_i1	0.187627522797978
"RNA binding"	GO:0003723	2	TRINITY_DN76_c1_g1_i3	0.81350233979612
"RNA binding"	GO:0003723	2	TRINITY_DN76_c1_g1_i1	0.809158883054947
"RNA binding"	GO:0003723	2	TRINITY_DN76_c1_g1_i2	2.78172947534081
"RNA binding"	GO:0003723	2	TRINITY_DN75_c0_g1_i3	2.32934934365
"RNA binding"	GO:0003723	2	TRINITY_DN99_c0_g1_i1	-0.163140536654405
"RNA binding"	GO:0003723	2	TRINITY_DN20730_c0_g1_i1	2.32934934365
"RNA binding"	GO:0003723	2	TRINITY_DN20730_c0_g1_i2	-0.195682508008021
"RNA binding"	GO:0003723	2	TRINITY_DN20757_c0_g1_i1	6.06221097377838
"RNA binding"	GO:0003723	2	TRINITY_DN20744_c0_g1_i1	7.96242712751055
"RNA binding"	GO:0003723	2	TRINITY_DN3878_c0_g1_i2	0.758137970456804
"RNA binding"	GO:0003723	2	TRINITY_DN3826_c0_g1_i1	0.96148650952106
"RNA binding"	GO:0003723	2	TRINITY_DN3826_c0_g1_i3	-3.54976020694646
"RNA binding"	GO:0003723	2	TRINITY_DN3826_c0_g1_i5	-4.78096144711722
"RNA binding"	GO:0003723	2	TRINITY_DN3826_c0_g1_i6	0.831775195199973
"RNA binding"	GO:0003723	2	TRINITY_DN3893_c0_g1_i1	-0.212399339452877
"RNA binding"	GO:0003723	2	TRINITY_DN3893_c0_g1_i2	-6.19170040068744
"RNA binding"	GO:0003723	2	TRINITY_DN3895_c0_g1_i1	-0.367367448571893
"RNA binding"	GO:0003723	2	TRINITY_DN3804_c1_g1_i1	0.5324806234324
"RNA binding"	GO:0003723	2	TRINITY_DN28028_c0_g1_i1	-0.311380063315551
"RNA binding"	GO:0003723	2	TRINITY_DN2959_c0_g1_i1	-0.871530174651802
"RNA binding"	GO:0003723	2	TRINITY_DN2989_c0_g1_i2	-0.115465941123713
"RNA binding"	GO:0003723	2	TRINITY_DN2989_c0_g1_i1	0.607153481387889
"RNA binding"	GO:0003723	2	TRINITY_DN2988_c0_g1_i1	0.203468544252631
"RNA binding"	GO:0003723	2	TRINITY_DN2988_c0_g1_i2	-0.160737111493428
"RNA binding"	GO:0003723	2	TRINITY_DN2988_c0_g1_i3	-0.705103572288427
"RNA binding"	GO:0003723	2	TRINITY_DN2909_c0_g1_i1	-0.216019600382178
"RNA binding"	GO:0003723	2	TRINITY_DN2979_c0_g2_i1	0.0639104884636075
"RNA binding"	GO:0003723	2	TRINITY_DN9677_c0_g1_i1	5.93903277027693
"RNA binding"	GO:0003723	2	TRINITY_DN9641_c0_g1_i1	2.10921084359388
"RNA binding"	GO:0003723	2	TRINITY_DN10887_c0_g1_i2	-0.615312314600055
"RNA binding"	GO:0003723	2	TRINITY_DN10887_c0_g1_i1	-0.606620199680227
"RNA binding"	GO:0003723	2	TRINITY_DN8785_c0_g1_i1	-0.0484299651496948
"RNA binding"	GO:0003723	2	TRINITY_DN8785_c0_g1_i3	-1.46449763427005
"RNA binding"	GO:0003723	2	TRINITY_DN2085_c0_g1_i2	0.596840433400924
"RNA binding"	GO:0003723	2	TRINITY_DN2097_c0_g1_i1	0.800225790364851
"RNA binding"	GO:0003723	2	TRINITY_DN2033_c0_g1_i1	-0.368243282800461
"RNA binding"	GO:0003723	2	TRINITY_DN2033_c0_g1_i2	-1.05968411544519
"RNA binding"	GO:0003723	2	TRINITY_DN17068_c0_g1_i1	-0.506612334133918
"RNA binding"	GO:0003723	2	TRINITY_DN17122_c0_g1_i1	4.66029369369621
"RNA binding"	GO:0003723	2	TRINITY_DN412_c0_g1_i8	0.565729988676628
"RNA binding"	GO:0003723	2	TRINITY_DN412_c0_g1_i9	0.17206395768768
"RNA binding"	GO:0003723	2	TRINITY_DN412_c0_g1_i12	-0.980033178669975
"RNA binding"	GO:0003723	2	TRINITY_DN435_c0_g1_i2	-0.709053113642836
"RNA binding"	GO:0003723	2	TRINITY_DN440_c0_g1_i1	0.383907445672622
"RNA binding"	GO:0003723	2	TRINITY_DN462_c0_g1_i1	-0.249701652677917
"RNA binding"	GO:0003723	2	TRINITY_DN7908_c0_g1_i1	-0.250463568706955
"RNA binding"	GO:0003723	2	TRINITY_DN7854_c0_g1_i2	1.8406531425448
"RNA binding"	GO:0003723	2	TRINITY_DN7854_c0_g1_i1	0.638689366798043
